LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1838,VIC180,Swan Hill,Murrawee,Loddon Mallee,SWAN HILL,,VIC,3586
VIC1839,VIC222,Mildura,Murray-Sunset,Loddon Mallee,MILDURA,,VIC,3490
VIC184,VIC224,Colac Otway,Beeac,Barwon South West,COLAC OTWAY,,VIC,3251
VIC1840,VIC180,Swan Hill,Murraydale,Loddon Mallee,SWAN HILL,,VIC,3586
VIC1841,VIC222,Mildura,Murrayville,Loddon Mallee,MILDURA,,VIC,3512
VIC1842,VIC243,East Gippsland,Murrindal,Gippsland,EAST GIPPSLAND,,VIC,3885
VIC1843,VIC250,Murrindindi,Murrindindi,Hume,MURRINDINDI,,VIC,3717
VIC1844,VIC224,Colac Otway,Murroon,Barwon South West,COLAC OTWAY,,VIC,3243
VIC1845,VIC177,Glen Eira,Murrumbeena,Greater Metropolitan Melbourne,GLEN EIRA,Metropolitan Melbourne,VIC,3163
VIC1846,VIC200,Yarriambiack,Murtoa,Grampians,YARRIAMBIACK,,VIC,3390
VIC1847,VIC94,Hepburn,Musk,Grampians,HEPBURN,,VIC,3461
VIC1848,VIC94,Hepburn,Musk Vale,Grampians,HEPBURN,,VIC,3461
VIC1849,VIC239,Campaspe,Muskerry,Loddon Mallee,CAMPASPE,,VIC,3557
VIC185,VIC224,Colac Otway,Beech Forest,Barwon South West,COLAC OTWAY,,VIC,3237
VIC1852,VIC223,Glenelg,Myamyn,Barwon South West,GLENELG,,VIC,3304
VIC1853,VIC193,Greater Bendigo,Myers Flat,Loddon Mallee,GREATER BENDIGO,,VIC,3556
VIC1854,VIC239,Campaspe,Myola,Loddon Mallee,CAMPASPE,,VIC,3551
VIC1855,VIC236,Moorabool,Myrniong,Grampians,MOORABOOL,,VIC,3341
VIC1856,VIC186,Wangaratta,Myrrhee,Hume,WANGARATTA,,VIC,3732
VIC1856,VIC199,Benalla,Myrrhee,Hume,BENALLA,,VIC,3673
VIC1857,VIC105,Mount Alexander,Myrtle Creek,Loddon Mallee,MOUNT ALEXANDER,,VIC,3551
VIC1857,VIC193,Greater Bendigo,Myrtle Creek,Loddon Mallee,GREATER BENDIGO,,VIC,3551
VIC1858,VIC218,Wellington,Myrtlebank,Gippsland,WELLINGTON,,VIC,3851
VIC1859,VIC242,Alpine,Myrtleford,Hume,ALPINE,,VIC,3737
VIC186,VIC191,Indigo,Beechworth,Hume,INDIGO,,VIC,3747
VIC1860,VIC185,Loddon,Mysia,Loddon Mallee,LODDON,,VIC,3518
